Symbol,Date,open,high,low,close,volume
^VN30,20210119,1171.46,1171.46,1098.96,1107.3199,324705300
^VN30,20210118,1187.79,1188.12,1171.96,1173.34,199288900
^VN30,20210115,1176.0699,1185.4399,1176.0699,1182.2,211717400
^VN30,20210114,1167.0699,1169.86,1156.58,1168.99,229616000
^VN30,20210113,1172.6899,1178.39,1161.91,1164.5699,187356100
^VN30,20210112,1163.4399,1169.3101,1155.9,1169.03,202517400
^VN30,20210111,1148.0601,1165.9,1148.0601,1163.4,222792000
^VN30,20210108,1131,1156.38,1131,1147.86,220086200
^VN30,20210107,1114.7,1130.59,1114.7,1130.59,215401400
^VN30,20210106,1110.9,1125.41,1105.0699,1113.72,225226500
^VN30,20210105,1087.52,1106.05,1086.09,1104.3,191641100
^VN30,20210104,1081.86,1097.48,1080.41,1091.87,233730100
^VN30,20201231,1059.4301,1073.65,1059.4301,1070.77,136030310
^VN30,20201230,1059.35,1069.47,1055.5699,1059.16,196502292
^VN30,20201229,1054.23,1062.4399,1050.05,1058.39,186047634
^VN30,20201228,1052.13,1062.8,1047.5,1054.23,209852001
^VN30,20201225,1033.75,1052.13,1026.23,1052.13,171970070
^VN30,20201224,1046.54,1051.04,1013.97,1033.95,231034929
^VN30,20201223,1052.23,1058.61,1044.14,1045.7,211871276
^VN30,20201222,1050.71,1053.63,1044.1,1052.23,211881000
^VN30,20201221,1039.24,1052.5699,1039.24,1049.71,206679318
^VN30,20201218,1018.79,1037.87,1018.79,1036.65,203375310
^VN30,20201217,1029.72,1029.72,1015.89,1016.95,238357816
^VN30,20201216,1013.02,1029.72,1013.02,1029.72,186285780
^VN30,20201215,1024.51,1025.11,1009.84,1013.02,184732684
^VN30,20201214,1009.61,1024.28,1009.61,1024.28,185717164
^VN30,20201211,994.28,1008.65,994.28,1008.65,144866577
^VN30,20201210,1004.48,1008.6,994.28,994.28,194144694
^VN30,20201209,993.61,1004.11,993.61,1004.03,189972780
^VN30,20201208,993.47,996.22,988.9,993.61,161018770
^VN30,20201207,985.51,992.43,984.3,992.01,157135240
^VN30,20201204,985.44,988.46,983.18,984.34,189257728
^VN30,20201203,979.95,986.25,978.54,985.44,192410370
^VN30,20201202,976.35,981.27,973.58,979.95,210999920
^VN30,20201201,965.89,976.35,952.01,976.35,219363380
^VN30,20201130,972.94,975.34,965.89,965.89,197563674
^VN30,20201127,964.16,971.11,963.9,971.11,160510756
^VN30,20201126,960.63,964.16,953.83,964.16,181299982
^VN30,20201125,959.61,963.7,957.14,960.63,187819530
^VN30,20201124,960.97,964.1,948.81,959.61,194786360
^VN30,20201123,951.04,961.32,946.29,960.03,178601192
^VN30,20201120,945.12,950.89,942.68,950.89,133240600
^VN30,20201119,939.33,944.92,936.71,944.92,175515186
^VN30,20201118,935.63,939.33,931.43,937.67,165763450
^VN30,20201117,920.74,934.65,917.82,934.65,137831581
^VN30,20201116,931.2,938.65,915.48,915.97,176443089
^VN30,20201113,923,931.2,923,931.2,128680880
^VN30,20201112,917.9,923,916.52,923,89398908
^VN30,20201111,918.84,919.89,910.44,916.68,121134143
^VN30,20201110,925.87,929.66,916.5,916.5,145545906
^VN30,20201109,907.9,917.42,907.9,917.42,118222970
^VN30,20201106,906.76,907.25,899.51,902.91,82499910
^VN30,20201105,905.48,913,903.64,903.64,110290254
^VN30,20201104,905.38,910.59,900.98,905.48,125417073
^VN30,20201103,899.27,904.78,897.3,902.14,113806589
^VN30,20201102,892.99,899.47,889.83,899.27,85228840
^VN30,20201030,886.68,892.55,876.14,892.55,140892870
^VN30,20201029,881.98,894.06,880.06,886.68,154467300
^VN30,20201028,912.57,915.77,888.88,888.88,195798816
^VN30,20201027,921.56,926.31,914.72,915.46,214919458
^VN30,20201026,935.44,942.58,919.56,919.56,170799360
^VN30,20201023,921.93,930.3,920.95,930.3,205096127
^VN30,20201022,906.1,918.3,902.01,918.3,158587150
^VN30,20201021,909.49,917.94,905.29,906.1,176641410
^VN30,20201020,900.81,909.49,899.71,909.49,194150727
^VN30,20201019,901.59,906.07,901.29,903.51,160760079
^VN30,20201016,899.2,906.03,893.29,901.59,179181800
^VN30,20201015,899.85,901.53,894.03,899.2,184342727
^VN30,20201014,878.35,892.15,878.35,892.15,243947621
^VN30,20201013,875.54,879.09,872.64,878.35,118308081
^VN30,20201012,874.53,882.8,871.83,874.9,143885260
^VN30,20201009,869.82,875.32,868.55,874.53,125756012
^VN30,20201008,870.85,872.94,864.83,869.82,148307202
^VN30,20201007,870.98,876.22,868.35,870.85,165098470
^VN30,20201006,867.7,872.32,866.17,871.37,156219930
^VN30,20201005,865.59,869.09,864.71,867.7,129130841
^VN30,20201002,867.58,870.26,851.3,861.51,168135120
^VN30,20201001,863.64,868.05,861.66,867.58,117342270
^VN30,20200930,858.06,859.93,852.72,858.54,115005042
^VN30,20200929,863.59,871.84,856.2,856.2,148850199
^VN30,20200928,854.84,863.43,854.84,863.31,169503454
^VN30,20200925,853.21,856.79,850.17,854.71,125520670
^VN30,20200924,858.3,858.89,852.62,853.21,103831198
^VN30,20200923,852.88,860.34,852.88,858.3,125434157
^VN30,20200922,851.54,854.58,846.09,852.72,135557800
^VN30,20200921,845.85,852.52,845.85,851.54,127374440
^VN30,20200918,831.84,841.94,831.84,841.26,114635860
^VN30,20200917,833.97,837.76,829.38,831.84,107726810
^VN30,20200916,834.07,834.5,831.93,834.5,62135810
^VN30,20200915,832.24,835.37,831.25,833.33,109796440
^VN30,20200914,829.29,832.92,829.29,832.24,77163830
^VN30,20200911,825.81,827.52,822.32,825.56,78634600
^VN30,20200910,824.42,832.3,824.42,825.85,146183936
^VN30,20200909,823.34,828.37,816.77,824.42,92100820
^VN30,20200908,825.22,829.22,819.14,827.57,93343316
^VN30,20200907,840.7,843.34,824.36,824.36,114515010
^VN30,20200904,843.64,843.64,833.65,840.54,111895660
